symbol,date,open,high,low,close,volume,symbol_encoded,year,month,day
AAP,2014-01-07,0.3446289479364698,0.35012121093727183,0.3570861468549668,113.18,-0.42947148732210894,1,2014,1,7
ABBV,2014-01-07,-0.6318437166091244,-0.6328713848565529,-0.6339598006653514,50.49,0.3542453499224048,3,2014,1,7
ABC,2014-01-07,-0.3287123595094292,-0.32132959255720756,-0.31853151278671765,70.45,-0.3752365400382794,4,2014,1,7
ABT,2014-01-07,-0.8172681136548287,-0.8204129051828711,-0.8207605695115094,38.85,0.23037300650097545,5,2014,1,7
ACN,2014-01-07,-0.15271090770549622,-0.1471443794096285,-0.14336539390329597,81.52,-0.21160000900984646,6,2014,1,7
ADBE,2014-01-07,-0.5133382018736271,-0.5089501442869504,-0.5085641288447469,58.97,-0.24766122658054374,7,2014,1,7
ADI,2014-01-07,-0.6534046930097877,-0.6554743662359575,-0.6494726672823333,49.59,-0.3924381343241008,8,2014,1,7
ADM,2014-01-07,-0.751147786026128,-0.7567926254261556,-0.7614561731736722,42.85,-0.10815738736769602,9,2014,1,7
ADP,2014-01-07,-0.16644604822740022,-0.16168615763973496,-0.15580800566900022,80.78,-0.38907690837679415,10,2014,1,7
ADSK,2014-01-07,-0.6629873491878603,-0.6503531312940504,-0.6609457248844762,49.68,-0.3332876312908851,12,2014,1,7
ADS,2014-01-07,2.6286550479800654,2.5925582517037924,2.620009405371156,255.19,-0.39673586023584034,11,2014,1,7
AEE,2014-01-07,-0.8718892538698422,-0.8693333439026313,-0.8681071311654233,36.22,-0.36435730048760895,13,2014,1,7
AEP,2014-01-07,-0.7072272785432954,-0.7074770296892727,-0.7024749615570218,46.38,-0.3522562990921675,14,2014,1,7
AES,2014-01-07,-1.2144692122359364,-1.2083780645936997,-1.2147227446386146,14.59,0.43238180395639875,15,2014,1,7
AET,2014-01-07,-0.3625710780052854,-0.35831628935986964,-0.35278909323255275,68.44,-0.3451317009989764,16,2014,1,7
AFL,2014-01-07,-0.4052138979977083,-0.40652544544880936,-0.3985843682247684,65.09,-0.34124939549573674,17,2014,1,7
AGN,2014-01-07,1.2642445191588334,1.2841143366079117,1.2872117744315121,169.9,-0.4057588485251977,18,2014,1,7
AIG,2014-01-07,-0.634558802526245,-0.6303423799469692,-0.6289504374869509,51.21,0.2955672840382937,19,2014,1,7
AAL,2014-01-08,-1.0226563777381839,-1.0047931693722096,-1.0209735042869332,27.63,0.89029340385999,0,2014,1,8
AAPL,2014-01-08,-0.2144743209918999,-0.2104153403632078,-0.2032256679615751,77.6371,5.251164821287307,2,2014,1,8
AAP,2014-01-08,0.352454783815229,0.3535195612845248,0.3616107329515866,112.3,-0.4424474284198615,1,2014,1,8
ABBV,2014-01-08,-0.6351976462714498,-0.6344520129250427,-0.6350101510092095,50.36,0.09530604968240569,3,2014,1,8
ABC,2014-01-08,-0.3205671017580674,-0.31355290246023754,-0.31109826419941367,71.14,-0.32602343127186956,4,2014,1,8
ABT,2014-01-08,-0.8233371292342745,-0.8223886902684834,-0.8210271969064888,39.2,0.03538296981399574,5,2014,1,8
ACN,2014-01-08,-0.14552391557194178,-0.14303474643155487,-0.13383144462827573,82.15,-0.1359583046432815,6,2014,1,8
ADBE,2014-01-08,-0.4996030613517231,-0.5053146997294237,-0.5021004344210044,58.9,-0.20379860438794567,7,2014,1,8
ADI,2014-01-08,-0.6498910524111611,-0.6536566439571941,-0.648826297839959,49.71,-0.40463855866097176,8,2014,1,8
ADM,2014-01-08,-0.7608901531405017,-0.7646957657686047,-0.7646880203855433,42.36,-0.11415162857839815,9,2014,1,8
ADP,2014-01-08,-0.16133529826576165,-0.16611191623150648,-0.15548482094781316,80.35,-0.3450810986416897,10,2014,1,8
ADSK,2014-01-08,-0.6532449820734866,-0.6433035301085858,-0.6541588457395467,50.24,-0.32928612516431865,12,2014,1,8
ADS,2014-01-08,2.6451052744190897,2.639660968144789,2.673835820684871,257.99,-0.4374804685152739,11,2014,1,8
AEE,2014-01-08,-0.8666187929719023,-0.8702817207437252,-0.8682687235260169,35.94,-0.36749170671369735,13,2014,1,8
AEP,2014-01-08,-0.70387334888097,-0.7086625007406402,-0.7044140698841446,46.1,-0.2843223671687915,14,2014,1,8
AES,2014-01-08,-1.2115944153825147,-1.2113812579238303,-1.217146630047518,14.3,0.1112676189487312,15,2014,1,8
AET,2014-01-08,-0.3481970937381767,-0.34630351603934684,-0.342770366875752,69.14,-0.29308236574210955,16,2014,1,8
AFL,2014-01-08,-0.4060124526792143,-0.41221570649537276,-0.40595297986783485,64.63,-0.35788474227642736,17,2014,1,8
AGN,2014-01-08,1.2725494878464965,1.3678718179571874,1.2922211376099124,177.11,-0.30443644783562884,18,2014,1,8
AIG,2014-01-08,-0.6256149900933774,-0.6214908627634261,-0.6223251507026148,51.81,0.3758097939283752,19,2014,1,8
AAL,2014-01-09,-0.9927904326498578,-0.9744451104572049,-0.9910789175771242,29.42,1.8096486125703215,0,2014,1,9
AAPL,2014-01-09,-0.19624491472247999,-0.20748011404002223,-0.21093523948549409,76.6455,5.71607522610013,2,2014,1,9
AAP,2014-01-09,0.36187772905700044,0.3630823610988883,0.3745381217990715,113.55,-0.4683157454549179,1,2014,1,9
ABBV,2014-01-09,-0.6358364900166547,-0.6259166213551977,-0.6409082721708746,51.22,0.10841865278029528,3,2014,1,9
ABC,2014-01-09,-0.3026794768923319,-0.3055233118723093,-0.2978476906307417,71.38,-0.3682514547822555,4,2014,1,9
ABT,2014-01-09,-0.8166292699096237,-0.8204919365862955,-0.8170439452178576,39.27,-0.0665274160130595,5,2014,1,9
ACN,2014-01-09,-0.13386501722195365,-0.12959940784939142,-0.12171201758375855,82.95,-0.1504981080294335,6,2014,1,9
ADBE,2014-01-09,-0.5016793035236388,-0.5013631295581991,-0.49789903304557187,59.09,-0.2954286046179946,7,2014,1,9
ADI,2014-01-09,-0.6540435367549925,-0.6578453083386921,-0.6518965526912368,49.52,-0.2915544952712169,8,2014,1,9
ADM,2014-01-09,-0.7648829265480319,-0.7695957127809231,-0.7735756002181894,42.16,-0.11574978999981758,9,2014,1,9
ADP,2014-01-09,-0.11821334546443506,-0.13038972188363626,-0.1454660945910122,80.63,-0.382974780802229,10,2014,1,9
ADSK,2014-01-09,-0.6321631384817269,-0.6254424329346507,-0.6268497367992346,51.08,-0.18059786901527639,12,2014,1,9
ADS,2014-01-09,2.695094797481368,2.719640748410374,2.735887287152799,258.97,-0.4571964119731072,11,2014,1,9
AEE,2014-01-09,-0.8685353242075168,-0.8718623488122149,-0.8672991693624555,36.04,-0.402433703484055,13,2014,1,9
AEP,2014-01-09,-0.7059495910528856,-0.7103221602125545,-0.7034445157205832,46.28,-0.34020331648295415,14,2014,1,9
AES,2014-01-09,-1.2144692122359364,-1.2124876975717733,-1.2161770758839567,14.46,-0.03421763270818257,15,2014,1,9
AET,2014-01-09,-0.3258375626560073,-0.3083684423955911,-0.3295197933070798,71.72,-0.13877395165392656,16,2014,1,9
AFL,2014-01-09,-0.4106440698319495,-0.4172737163145403,-0.41112393540682873,64.27,-0.30571736454877724,17,2014,1,9
AGN,2014-01-09,1.4252331429504523,1.452451225902078,1.4252568962393806,179.94,-0.36043454873400277,18,2014,1,9
AIG,2014-01-09,-0.33382310947106775,-0.3347649311393713,-0.3317820863553897,52.11,0.21583409400139542,19,2014,1,9
AAL,2014-01-10,-0.9798538468094597,-0.9708096658996783,-0.9821913377444783,29.35,0.6308021103000111,0,2014,1,10
AAPL,2014-01-10,-0.21214733264999142,-0.22116361122893877,-0.22072288876664614,76.1342,6.287620388231054,2,2014,1,10
AAP,2014-01-10,0.38136246328574797,0.38800886573897286,0.38956621133427294,115.64,-0.4512321936398797,1,2014,1,10
ABBV,2014-01-10,-0.6249761463481724,-0.6284456262647813,-0.6265265520780475,50.9,-0.020034896660067764,3,2014,1,10
ABC,2014-01-10,-0.30204063314712715,-0.31137163572572174,-0.29881562887069707,71.34,-0.37069765113151326,4,2014,1,10
ABT,2014-01-10,-0.8166292699096237,-0.8159476308893874,-0.8147816521695477,39.57,0.054970536516811164,5,2014,1,10
ACN,2014-01-10,-0.1222061188719653,-0.12691234013295866,-0.1154099155206096,83.2,-0.12241549241979773,6,2014,1,10
ADBE,2014-01-10,-0.49592970981679524,-0.49978250148970926,-0.4941824087519198,59.53,-0.34873613898042516,7,2014,1,10
ADI,2014-01-10,-0.654362958627595,-0.6584775595660881,-0.6527045144942046,49.53,-0.32707868641634325,8,2014,1,10
ADM,2014-01-10,-0.7664800359110441,-0.7695957127809231,-0.7692126064821632,41.98,-0.018371700518896045,9,2014,1,10
ADP,2014-01-10,-0.14919726710686965,-0.16026359237809404,-0.15467685914484539,80.35,-0.3803457745284073,10,2014,1,10
ADSK,2014-01-10,-0.6270523885200882,-0.6286036890716304,-0.6284010234609329,51.47,-0.3172274408810448,12,2014,1,10
ADS,2014-01-10,2.691740867819043,2.676015413720055,2.7084165858518934,258.26,-0.42077955248288784,11,2014,1,10
AEE,2014-01-10,-0.8661396601629986,-0.862852768821823,-0.8652792648550359,36.52,-0.32400878037806397,13,2014,1,10
AEP,2014-01-10,-0.6997208645371384,-0.6900901209358846,-0.6940721588061566,47.2,-0.24517538577883427,14,2014,1,10
AES,2014-01-10,-1.2122332591277194,-1.2099586926621895,-1.2127836363114919,14.53,-0.08337408108861642,15,2014,1,10
AET,2014-01-10,-0.3026794768923319,-0.30331043257642354,-0.3055718054671139,71.35,-0.20532264404657893,16,2014,1,10
AFL,2014-01-10,-0.4124008901312628,-0.41079314123373184,-0.41096234304623536,65.17,-0.3480157680983471,17,2014,1,10
AGN,2014-01-10,1.5010958376935268,1.5093538363677124,1.4750144159133505,183.32,-0.3719746479437451,18,2014,1,10
AIG,2014-01-10,-0.6099633183358588,-0.6150102876826178,-0.6117408510837365,52.22,0.2548830778684383,19,2014,1,10
AAL,2014-01-13,-0.977777604637544,-0.9755515501051478,-0.984938407874569,28.65,0.4319153357473262,0,2014,1,13
AAPL,2014-01-13,-0.23477996943323565,-0.2173258462786454,-0.2235620665422749,76.5328,7.939340039494268,2,2014,1,13
AAP,2014-01-13,0.40004864283298947,0.3910594779111582,0.39166691202198917,114.29,-0.42778592992798126,1,2014,1,13
ABBV,2014-01-13,-0.6347185134625463,-0.6403003367784551,-0.6446248964645265,49.83,0.1168671083194027,3,2014,1,13
ABC,2014-01-13,-0.30315860970123554,-0.30821037958874203,-0.3094823405934781,70.61,-0.35074482093419873,4,2014,1,13
ABT,2014-01-13,-0.8191846448904431,-0.8152758639602791,-0.8155896139725155,39.11,0.5694951272307355,5,2014,1,13
ACN,2014-01-13,-0.12284496261717023,-0.1344993548617099,-0.1411031008549861,81.06,-0.16054009237978625,6,2014,1,13
ADBE,2014-01-13,-0.49704768637090374,-0.50278569481984,-0.5029083962239723,58.6,-0.2507668571703582,7,2014,1,13
ADI,2014-01-13,-0.6578765992262215,-0.6591098107934841,-0.6604609478026957,48.87,-0.24533529991849912,8,2014,1,13
ADM,2014-01-13,-0.7728684733630924,-0.7768666018959762,-0.7771306321512477,41.53,0.05570293436761049,9,2014,1,13
ADP,2014-01-13,-0.161654720138364,-0.17259249131231474,-0.17277520353132422,79.05,-0.3257140263654317,10,2014,1,13
ADSK,2014-01-13,-0.6133172479981842,-0.6093200266360544,-0.6176389722454015,51.57,-0.10529176162036465,12,2014,1,13
ADS,2014-01-13,2.659958391495102,2.6415577218269766,2.5867375383249414,251.01,-0.4531024318203724,11,2014,1,13
AEE,2014-01-13,-0.861827464882866,-0.8642753340834638,-0.8643905068717713,36.23,-0.3901965746204198,13,2014,1,13
AEP,2014-01-13,-0.6925338724035841,-0.6967176944270626,-0.6960112671332793,46.67,-0.26644628265934744,14,2014,1,13
AES,2014-01-13,-1.2130318138092253,-1.2129618859923201,-1.217146630047518,14.26,-0.0834164872894412,15,2014,1,13
AET,2014-01-13,-0.30651253936356104,-0.3042588094175175,-0.30398820033329693,71.04,-0.30880749371223976,16,2014,1,13
AFL,2014-01-13,-0.40840811672373256,-0.4147447114049564,-0.4125782666521709,64.1,-0.2970031575452574,17,2014,1,13
AGN,2014-01-13,1.4895966502798397,1.4785315890321604,1.4769212057683545,181.29,-0.4032737204327458,18,2014,1,13
AIG,2014-01-13,-0.6121992714440757,-0.6129554711935811,-0.6161846410000595,51.46,0.31342350177718326,19,2014,1,13
AAL,2014-01-14,-0.984645174898496,-0.983296627640748,-0.9828377071868526,28.87,0.43279089907023777,0,2014,1,14
AAPL,2014-01-14,-0.2158206841849193,-0.20777411086076122,-0.20560269158590655,78.0556,6.948097589697537,2,2014,1,14
AAP,2014-01-14,0.3992500881514835,0.42267203928095476,0.39247487382495694,117.6,-0.43867345472377084,1,2014,1,14
ABBV,2014-01-14,-0.6462177008762333,-0.6380874574825692,-0.64478648882512,50.6,0.07726657657566616,3,2014,1,14
ABC,2014-01-14,-0.3152966408601275,-0.32069734132981176,-0.3219249523591824,70.54,-0.2954392061682008,4,2014,1,14
ABT,2014-01-14,-0.8161501371007202,-0.8166193978184955,-0.815428021611922,39.57,0.07365465514701304,5,2014,1,14
ACN,2014-01-14,-0.15366917332330352,-0.14224443239731,-0.1425574321003282,81.95,-0.21870393853456838,6,2014,1,14
ADBE,2014-01-14,-0.5066303425489763,-0.4855568488733008,-0.49935336429091387,60.37,-0.13928995315639947,7,2014,1,14
ADI,2014-01-14,-0.6623485054426554,-0.6516808588715818,-0.6567443235090437,49.71,-0.25511625450327075,8,2014,1,14
ADM,2014-01-14,-0.7773403795795263,-0.7722827804973558,-0.7750299314635314,42.33,0.1381276709156813,9,2014,1,14
ADP,2014-01-14,-0.17714668095958128,-0.17733437551778417,-0.17115927992538868,79.95,-0.36851168274992185,10,2014,1,14
ADSK,2014-01-14,-0.6189071307687265,-0.6086877754086585,-0.6179621569665887,52.64,-0.25542984657659684,12,2014,1,14
